signer,name,eth,raw,txs_payed
0x0cec743b8ce4ef8802cac0e5df18a180ed8402a7,milkyklim,3.935226408414695,3935226408414694658,109
0x7a1057e6e9093da9c1d4c1d049609b6889fc4c67,banteg,1.6286722050017601,1628672205001760050,62
0x6626593c237f530d15ae9980a95ef938ac15c35c,Gauntlet,0.4831807093304037,483180709330403681,13
0x48f2bd7513da5bb9f7bfd54ea37c41650fd5f3a3,devops199fan,0.252209196382315,252209196382315036,29
0x74630370197b4c4795bfeef6645ee14f8cf8997d,cp0x.com,0.22581194338950195,225811943389501935,12
0x6e83d6f57012d74e0f131753f8b5ab557824507d,Vasiliy,0.14825250990000002,148252509900000000,12
0x99bc02c239025e431d5741cc1dba8ce77fc51ce3,Daryl Lau,0.12115283199999999,121152832000000000,15
0xb0325dbe7fa891436e83a094f9f12848c78e449b,Calvin Liu,0.054129290999999996,54129291000000000,4
0x6f2a8ee9452ba7d336b3fba03cac27f7818aead6,Mariano,0.017854460108413912,17854460108413913,5
0x59171b87817c5f07157066bd5284707a711229b3,Cooopahtroopa,0.012480893,12480893000000000,1
0x50b0c406a5c1fc492f84c3f3d4552391cf4672f2,Substreight,0.001894446067414554,1894446067414554,1
